CAMS 1605 Ozone Summary Report for 2018
St. Edwards University C1605 - EPA Site: 48_453_1605
Ozone (POC 1) measured in parts per billion
Data from this instrument does not meet EPA quality assurance criteria and cannot be used for regulatory purposes.
Central Standard Time
Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
04/04/2018,41,40,38,37,36,33,31,31,32,34,39,42,43,45,48,49,48,43,42,35,30,28,23,28
04/05/2018,34,32,32,28,26,19,13,11,18,33,40,43,46,45,43,42,42,41,36,34,31,28,26,26
04/06/2018,26,25,22,20,17,14,13,13,15,18,21,25,27,30,31,33,32,29,25,21,17,13,15,19
04/07/2018,18,23,28,24,26,26,30,31,31,29,27,26,27,27,27,27,26,23,22,21,21,21,20,21
04/08/2018,21,21,22,22,21,20,18,18,18,19,21,23,25,30,31,35,35,33,32,30,27,23,21,19
04/09/2018,17,14,18,18,14,11,10,17,26,30,33,30,34,36,35,34,37,37,37,34,33,36,35,34
04/10/2018,31,26,23,25,25,23,19,20,32,36,42,47,49,52,54,54,54,52,45,33,32,28,22,29
04/11/2018,21,18,14,12,10,11,4,3,12,35,47,50,52,56,64,58,55,54,50,47,45,41,39,38
04/12/2018,37,36,37,39,41,40,38,36,36,33,33,36,37,40,42,43,42,39,35,32,32,33,32,32
04/13/2018,32,30,29,27,25,22,21,19,19,20,19,17,19,27,30,34,35,30,23,20,17,38,46,41
04/14/2018,47,52,47,41,37,36,34,35,38,42,44,46,46,46,46,47,47,47,46,47,47,42,34,29
04/15/2018,28,31,31,32,33,31,31,37,42,44,46,48,50,50,51,51,51,54,49,38,35,27,29,23
04/16/2018,23,26,29,24,15,11,2,20,35,45,49,51,55,54,54,57,55,53,47,44,43,40,40,39
04/17/2018,37,34,32,29,25,20,17,26,34,43,46,47,49,51,52,53,50,46,43,40,38,37,37,37
04/18/2018,37,36,36,37,34,36,34,34,33,33,36,39,59,66,66,68,67,66,65,59,55,52,49,44
04/19/2018,43,44,44,42,41,41,40,39,40,43,45,47,48,50,52,52,51,50,48,45,40,37,38,38
04/20/2018,35,36,38,36,33,29,25,30,35,36,38,41,44,46,46,47,48,50,48,43,41,41,41,41
04/21/2018,42,39,37,36,34,30,25,23,21,18,20,24,23,23,21,18,20,22,21,15,16,19,35,31
04/22/2018,30,34,33,33,32,30,29,29,31,34,37,39,42,42,43,44,47,47,45,43,37,32,31,32
04/23/2018,35,26,15,15,20,18,15,20,31,47,55,55,55,54,53,54,55,55,54,43,46,42,42,35
04/24/2018,30,26,24,21,15,9,10,16,33,38,50,57,59,58,60,61,61,61,61,53,48,49,48,44
04/25/2018,42,35,26,9,16,11,10,29,42,48,55,58,63,56,43,37,28,24,24,28,27,27,23,20
04/26/2018,20,22,22,19,15,12,10,18,25,28,34,39,45,53,56,58,59,55,51,39,33,16,16,21
04/27/2018,2,4,6,12,27,24,15,18,33,46,48,60,64,66,65,60,60,56,60,57,50,45,40,39
04/28/2018,42,45,45,43,42,19,15,10,29,51,59,62,64,63,63,64,64,65,64,59,55,54,52,51
04/29/2018,49,46,39,34,35,26,30,40,46,52,59,57,57,58,56,57,57,55,54,49,46,43,43,41
04/30/2018,37,35,34,32,30,27,21,31,33,39,43,45,45,44,43,43,39,37,37,34,36,36,35,36
05/01/2018,37,37,37,36,34,30,29,28,29,29,29,31,31,31,30,28,27,25,24,23,23,24,27,29
05/02/2018,28,28,26,24,23,19,17,16,18,19,23,23,25,27,27,29,29,29,28,24,25,25,25,25
05/03/2018,25,24,21,21,21,20,18,19,20,23,27,30,28,26,28,30,29,28,27,24,23,21,20,20
05/04/2018,20,19,18,17,14,12,10,9,10,44,42,40,38,33,33,33,31,28,25,22,18,16,20,20
05/05/2018,17,15,15,13,13,14,19,20,23,28,41,50,52,52,55,55,55,54,54,46,40,30,37,31
05/06/2018,11,6,12,18,14,14,16,21,31,45,56,58,61,63,66,68,69,68,62,51,45,38,37,41
05/07/2018,35,34,36,37,31,4,7,19,43,53,61,64,68,68,67,69,70,67,57,48,44,41,40,36
05/08/2018,34,27,33,36,33,28,26,29,38,43,44,53,54,51,52,55,53,55,51,47,45,44,43,41
05/09/2018,39,35,31,28,27,18,16,24,36,41,44,46,50,52,50,51,55,52,50,49,49,48,46,44
05/10/2018,39,34,32,31,27,22,21,28,36,44,47,50,52,52,51,53,53,51,46,41,37,35,33,30
05/11/2018,29,31,31,31,31,29,28,31,35,36,39,41,41,42,43,43,42,41,37,33,30,26,23,22
05/12/2018,24,24,23,24,24,22,19,24,27,32,33,35,37,38,39,39,40,38,36,31,28,26,22,19
05/13/2018,18,19,20,19,17,16,14,15,17,20,25,30,32,35,36,37,36,35,31,28,27,23,19,16
05/14/2018,15,16,16,14,11,11,10,12,16,20,24,27,32,32,32,34,31,33,31,29,28,28,26,24
05/15/2018,23,23,23,22,20,15,15,20,26,29,36,37,36,35,36,37,38,40,35,32,27,33,30,30
05/16/2018,26,27,24,21,20,15,14,19,27,35,43,51,59,62,63,64,63,62,58,47,37,33,30,30
05/17/2018,27,26,20,17,16,13,6,14,27,37,44,47,49,53,49,49,53,51,43,35,32,34,35,31
05/18/2018,27,26,25,27,25,21,22,24,28,33,36,42,41,43,45,46,45,43,39,36,33,27,25,23
05/19/2018,22,20,22,25,24,22,22,23,26,29,31,33,34,34,33,32,33,33,30,28,29,24,20,18
05/20/2018,17,17,17,16,16,16,15,16,18,18,21,25,30,29,29,29,28,28,22,19,19,16,12,11
