CAMS 1068 Nitric Oxide Summary Report for 2020
Austin North Interstate 35 C1068 - EPA Site: 48_453_1068
Nitric Oxide (POC 1) measured in parts per billion
Central Standard Time
Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
03/01/2020,5.1,SPN,SPN,3.8,4.4,4.0,6.7,6.3,9.8,7.7,8.6,5.3,5.9,5.4,5.3,5.4,6.3,5.8,9.4,14.3,16.9,10.3,8.5,5.4
03/02/2020,3.1,2.2,2.4,2.9,5.8,14.6,26.5,28.0,25.8,23.5,15.8,12.3,10.6,9.9,9.2,9.0,8.2,6.9,4.3,14.2,34.8,17.4,26.3,25.7
03/03/2020,7.7,2.3,0.6,3.2,1.3,14.3,47.9,28.6,32.9,15.2,5.9,16.7,23.9,29.4,18.3,16.7,18.3,8.4,5.7,1.5,20.9,20.2,18.8,14.6
03/04/2020,14.8,14.4,13.8,12.4,13.8,18.4,19.4,0.8,1.1,0.7,QAS,QAS,2.8,4.8,10.2,12.3,12.0,4.0,2.5,0.2,0.2,0.2,0.2,0.2
03/05/2020,0.0,0.1,0.0,0.1,0.1,0.1,0.3,0.9,1.5,1.2,1.1,0.6,0.3,0.2,0.2,0.3,1.1,1.7,0.6,6.2,16.0,51.7,62.4,58.6
03/06/2020,42.7,24.9,0.8,0.3,0.4,0.2,0.3,0.8,8.6,12.5,12.4,14.9,7.4,9.4,8.4,6.3,6.5,6.8,18.8,0.7,3.0,26.6,27.1,15.2
03/07/2020,10.4,1.5,1.3,1.8,6.4,3.5,9.9,49.8,37.7,13.3,26.5,16.1,25.9,20.6,18.9,13.3,12.7,12.0,15.2,18.4,27.5,25.6,13.6,10.0
03/08/2020,10.7,CAL,CAL,CAL,CAL,8.0,8.6,14.4,10.8,12.1,9.4,9.2,7.3,6.6,6.0,6.9,9.3,7.9,10.5,7.3,8.1,8.6,4.4,3.7
03/09/2020,3.1,3.7,3.2,4.3,8.7,9.6,9.6,10.6,8.1,6.7,3.4,10.7,22.8,20.8,17.0,18.6,18.8,2.8,4.9,34.3,50.0,16.2,11.2,9.2
03/10/2020,7.2,1.2,4.9,2.8,39.3,72.1,49.0,58.3,50.2,30.3,17.3,14.2,9.9,9.4,9.7,11.9,10.9,11.6,17.0,33.2,27.9,14.9,9.4,5.6
03/11/2020,5.3,6.7,2.3,4.5,2.9,32.1,36.8,32.5,30.4,26.2,18.5,12.1,10.1,9.4,7.9,8.0,8.9,12.1,19.7,30.9,19.8,15.4,9.3,10.1
03/12/2020,5.6,5.4,3.9,3.5,8.7,12.5,11.4,14.5,12.1,9.8,11.8,7.9,9.2,7.5,8.6,6.2,6.6,11.8,14.7,9.6,14.3,11.1,12.1,7.5
03/13/2020,7.8,6.8,10.3,10.0,12.9,27.7,36.0,31.5,32.6,23.0,19.1,18.4,15.4,14.9,11.0,10.0,11.4,12.8,10.3,10.8,11.8,9.6,9.2,8.2
03/14/2020,6.0,7.1,6.2,5.4,8.4,15.2,23.4,26.7,25.5,20.5,14.7,11.5,9.1,9.3,7.1,8.0,12.0,16.5,15.6,12.8,12.3,14.4,7.9,1.3
03/15/2020,0.9,SPN,SPN,1.4,1.6,2.1,0.4,1.4,2.7,2.1,2.7,7.3,15.7,8.8,13.6,11.7,8.3,3.1,1.2,1.8,0.9,0.9,1.2,0.9
03/16/2020,10.2,3.5,0.3,0.3,0.5,26.4,28.7,36.2,16.0,PMA,PMA,31.8,31.3,29.6,25.7,20.4,20.3,20.5,27.3,23.5,19.0,17.8,13.5,14.1
03/17/2020,13.6,10.8,9.9,12.8,21.1,28.7,34.2,31.9,26.2,26.6,19.3,19.2,18.7,18.2,16.9,13.9,15.3,22.5,22.0,19.7,17.4,17.2,12.2,8.4
03/18/2020,7.6,9.2,5.7,7.1,8.8,15.9,19.0,26.0,20.7,23.5,16.3,15.5,16.7,15.3,14.8,12.3,12.6,13.8,15.1,13.2,9.3,8.3,6.5,6.2
03/19/2020,5.0,5.4,6.0,6.2,9.2,17.2,27.2,31.0,24.3,13.1,12.0,18.4,11.7,11.3,9.0,11.8,13.2,13.5,15.7,24.0,16.8,13.4,6.6,4.8
03/20/2020,11.5,6.5,7.1,6.1,4.4,-0.2,-0.1,0.0,0.1,0.3,0.4,0.8,0.8,1.4,1.6,1.2,0.7,1.0,0.9,1.0,0.4,0.4,0.3,0.1
03/21/2020,0.2,0.3,0.2,0.3,0.2,0.2,0.1,0.5,1.0,1.4,1.8,2.1,3.8,2.5,12.9,16.4,8.6,6.3,0.5,1.7,0.6,5.5,10.6,13.0
03/22/2020,8.2,SPN,SPN,1.1,0.6,0.6,7.0,12.7,13.3,15.6,18.9,19.5,23.3,8.0,4.8,16.0,22.4,25.7,27.5,14.4,4.1,10.5,12.3,6.5
03/23/2020,4.2,6.8,20.1,18.8,40.3,39.4,45.1,45.6,55.7,40.5,23.3,15.9,8.0,9.0,8.9,8.6,10.5,19.6,24.7,16.2,10.1,9.6,8.1,7.0
03/24/2020,6.4,2.8,3.0,6.9,13.0,22.0,20.3,7.9,4.3,4.9,1.2,1.1,0.4,0.2,0.2,0.1,0.3,0.3,0.1,0.4,1.5,1.0,3.8,2.3
03/25/2020,0.5,1.0,1.0,1.1,2.0,9.4,32.2,76.2,24.1,41.9,34.0,21.8,10.1,10.6,6.5,9.5,9.6,9.8,7.9,10.5,13.2,15.0,7.3,5.4
03/26/2020,4.4,3.0,3.5,4.4,8.1,22.9,18.9,20.8,15.0,QAS,QAS,QAS,QAS,QAS,9.9,8.6,10.9,11.0,14.7,10.9,8.2,9.0,6.0,10.9
03/27/2020,10.0,5.4,4.4,6.0,9.7,19.1,19.7,24.9,19.0,12.3,10.5,9.5,7.1,6.7,7.2,7.7,7.5,13.3,16.5,13.7,12.7,7.7,5.3,3.9
03/28/2020,2.7,3.0,1.9,2.5,2.4,4.7,4.6,1.5,0.9,0.3,3.6,1.4,0.3,0.2,0.3,0.1,0.3,0.2,0.3,0.3,10.8,46.4,27.0,13.7
03/29/2020,3.4,SPN,SPN,0.9,1.3,1.0,3.6,3.3,1.7,1.2,3.3,5.4,5.7,6.0,7.3,7.0,8.4,9.7,12.2,12.8,12.2,9.6,6.3,4.5
03/30/2020,3.5,5.1,4.8,7.0,15.2,27.3,21.9,17.5,22.8,28.3,32.3,36.7,29.5,3.6,4.6,2.1,5.0,1.7,25.3,10.4,23.2,29.0,16.0,1.7
03/31/2020,1.0,0.6,0.8,0.9,0.6,0.7,0.6,0.4,0.5,0.8,0.8,0.5,4.0,1.9,2.8,1.2,1.7,6.4,15.4,19.5,21.0,11.1,10.0,12.2
04/01/2020,8.6,6.8,6.0,2.0,17.4,14.1,58.1,33.5,22.0,14.6,14.8,11.1,9.6,11.0,10.4,10.7,12.0,15.1,16.6,14.4,7.8,7.9,9.3,8.7
04/02/2020,9.9,4.7,5.2,5.0,12.9,31.2,26.8,25.3,25.0,18.9,16.8,17.6,18.4,16.9,17.4,22.7,20.3,15.4,12.4,14.9,10.8,14.1,10.8,10.0
