CAMS 1068 PM-2.5 (Local Conditions) Summary Report for 2019
Austin North Interstate 35 C1068 - EPA Site: 48_453_1068
PM-2.5 (Local Conditions) (POC 2) measured in micrograms per cubic meter (local conditions)
Data from this instrument meets EPA quality assurance criteria for regulatory purposes.
Central Standard Time
Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
03/24/2019,6.0,5.0,7.0,6.0,6.0,5.0,10.0,9.0,7.0,4.0,9.0,9.0,8.0,13.0,5.0,11.0,7.0,12.0,9.0,9.0,14.0,14.0,14.0,8.0
03/25/2019,9.0,8.0,9.0,9.0,10.0,14.0,15.0,11.0,10.0,10.0,8.0,16.0,10.0,11.0,6.0,5.0,4.0,4.0,5.0,5.0,6.0,2.0,4.0,4.0
03/26/2019,6.0,7.0,5.0,7.0,11.0,7.0,3.0,2.0,8.0,4.0,12.0,6.0,9.0,5.0,6.0,7.0,6.0,8.0,9.0,6.0,4.0,9.0,9.0,8.0
03/27/2019,9.0,9.0,8.0,8.0,9.0,10.0,12.0,8.0,14.0,14.0,10.0,12.0,14.0,12.0,7.0,11.0,10.0,9.0,8.0,8.0,12.0,9.0,9.0,8.0
03/28/2019,8.0,5.0,5.0,9.0,9.0,12.0,9.0,11.0,9.0,11.0,9.0,9.0,14.0,11.0,10.0,11.0,9.0,8.0,7.0,6.0,5.0,8.0,9.0,6.0
03/29/2019,10.0,8.0,9.0,8.0,9.0,7.0,10.0,8.0,9.0,8.0,15.0,6.0,15.0,4.0,8.0,13.0,11.0,9.0,7.0,6.0,6.0,5.0,8.0,3.0
03/30/2019,10.0,4.0,6.0,6.0,6.0,5.0,10.0,5.0,10.0,6.0,7.0,5.0,0.0,3.0,3.0,2.0,2.0,3.0,-2.0,2.0,3.0,5.0,3.0,2.0
03/31/2019,2.0,-1.0,4.0,6.0,4.0,1.0,7.0,4.0,4.0,3.0,2.0,3.0,5.0,4.0,5.0,3.0,6.0,2.0,6.0,3.0,8.0,8.0,7.0,3.0
04/01/2019,4.0,3.0,6.0,2.0,5.0,7.0,6.0,9.0,4.0,8.0,3.0,QAS,QAS,QAS,QAS,QAS,QAS,QAS,QAS,QAS,QAS,QAS,QAS,QAS
04/02/2019,QAS,QAS,QAS,QAS,QAS,QAS,QAS,QAS,QAS,QAS,QAS,QAS,QAS,5.0,9.0,10.0,9.0,6.0,10.0,6.0,6.0,6.0,8.0,6.0
04/03/2019,7.0,4.0,5.0,8.0,8.0,7.0,7.0,7.0,5.0,10.0,9.0,5.0,9.0,8.0,9.0,6.0,8.0,8.0,4.0,PMA,PMA,AQI,0.0,5.0
04/04/2019,6.0,1.0,5.0,7.0,9.0,9.0,14.0,10.0,13.0,17.0,7.0,12.0,6.0,7.0,10.0,10.0,8.0,6.0,9.0,12.0,17.0,15.0,17.0,16.0
04/05/2019,7.0,9.0,10.0,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,AQI,22.0,23.0,22.0,17.0,11.0,19.0,21.0,21.0,18.0,17.0,21.0
04/06/2019,23.0,28.0,28.0,25.0,20.0,19.0,16.0,18.0,18.0,15.0,12.0,18.0,8.0,13.0,7.0,1.0,9.0,8.0,8.0,13.0,12.0,10.0,14.0,10.0
04/07/2019,13.0,13.0,10.0,12.0,13.0,15.0,16.0,1.0,7.0,7.0,11.0,-3.0,8.0,0.0,8.0,-1.0,7.0,4.0,5.0,6.0,2.0,4.0,5.0,4.0
04/08/2019,4.0,0.0,5.0,3.0,4.0,4.0,0.0,3.0,5.0,2.0,7.0,9.0,8.0,4.0,9.0,4.0,8.0,5.0,9.0,6.0,10.0,8.0,9.0,16.0
